Filename                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
src/platform/desktop/common/serial/serial_port_actions.cpp                                  358               192    46.37%         233               164    29.61%         580               374    35.52%          16                 7    56.25%
src/platform/desktop/common/serial/serial_port_actions.h                                      7                 2    71.43%           3                 1    66.67%          17                 2    88.24%           2                 1    50.00%
src/platform/desktop/common/serial/serial_port_actions_direct.cpp                           716               411    42.60%          52                28    46.15%        1222               753    38.38%         392               250    36.22%
src/platform/desktop/common/serial/serial_port_actions_direct.h                              90                60    33.33%          90                60    33.33%          90                60    33.33%           0                 0         -
src/platform/desktop/common/serial/websocketiodevice.cpp                                     17                14    17.65%           7                 6    14.29%          38                27    28.95%           6                 6     0.00%

Files which contain no functions:
src/platform/desktop/unix/j2534/J2534_tactrix_unix.h                                       0                 0         -           0                 0         -           0                 0         -           0                 0         -
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                               5864              4438    24.32%         746               461    38.20%        9531              7132    25.17%        3359              2661    20.78%
